,name,album,artists,distance,neighbors
0,Yin,Spool,['Spool'],1.1102230246251565e-16,235342
1,Have You Ecver Loved A Woman,The Country Blues,['Al Cook'],0.00010000000000000286,380313
2,Dna Andriko,Fani Drakopoulou,['Fani Drakopoulou'],0.00020000000000000573,857819
3,Believe in Us,Poison,['Jay-Jay Johanson'],0.00020000000000000573,127035
4,All The Tops,Are We Having Fun Yet?,['RRA'],0.00020000000000000573,742477
5,Praises Dub,Dubs and Praises,['R-Juna'],0.0002999999999999947,927306
6,Requiem of Spirit,"Zelda Music (From ""Ocarina of Time"") [For Piano Solo]",['daigoro789'],0.0002999999999999947,1028479
7,P.I.T.T.,High Voltage Confessions (Deluxe Edition),['Junksista'],0.0002999999999999947,763698
8,The House Carpenter,Milk & Scissors,['The Handsome Family'],0.0003999999999999976,17790
9,Brutalisme,Contre-Temps,['Flavien Berger'],0.0003999999999999976,762452
10,Tête de bandit,Fils de L'anarchie,['Northsiderz'],0.0003999999999999976,436203
